"ProductName","Location","Sublocation","Serial","Quantity"
"Carina Twist Bracelet in Gold","Queen Vic","","","8.00000"
"Carina Twist Bracelet in Gold","Travel","","","14.00000"
"Carina Twist Bracelet in Gold Forever Connected Bundle","Moonglow HQ","","","-1.00000"
"Carina Twist Bracelet in Stainless Steel","Coolum","","","-1.00000"
"Carina Twist Bracelet in Stainless Steel","Eumundi","","","3.00000"
"Carina Twist Bracelet in Stainless Steel","New Zealand","","","-1.00000"
"Carina Twist Bracelet in Stainless Steel","Queen Vic","","","6.00000"
"Carina Twist Ring in Gold","Coolum","","","1.00000"
"Carina Twist Ring in Gold","Eumundi","","","2.00000"
"Carina Twist Ring in Gold","Fremantle","","","4.00000"
"Carina Twist Ring in Gold","Queen Vic","","","-1.00000"
"Carina Twist Ring in Gold","Travel","","","3.00000"
"Carina Twist Ring in Gold","Travel 2-Melbourne Show","","","1.00000"
"Carina Twist Ring in Stainless Steel","Coolum","","","1.00000"
"Carina Twist Ring in Stainless Steel","Eumundi","","","3.00000"
"Carina Twist Ring in Stainless Steel","Fremantle","","","3.00000"
"Carina Twist Ring in Stainless Steel","Queen Vic","","","-1.00000"
"Carina Twist Ring in Stainless Steel","Travel","","","-1.00000"
"Cart saver error","Coolum","","","-24.00000"
"Cart saver error","Eumundi","","","-71.00000"
"Cart saver error","Fremantle","","","-133.00000"
"Cart saver error","Moonglow HQ","","","-13.00000"
"Cart saver error","Queen Vic","","","-48.00000"
"Cart saver error","Travel","","","-176.00000"
"Cat pendant no chain","Travel","","","-1.00000"
"Celest Curb bracelet","Coolum","","","-1.00000"
"Celeste bracelet","Coolum","","","-1.00000"
"Celestial Clay Terra Luna Bracelet","Coolum","","","-1.00000"
"Celestial Clay Terra Luna Bracelet","Eumundi","","","12.00000"
"Celestial Clay Terra Luna Bracelet","Fremantle","","","6.00000"
"Celestial Clay Terra Luna Bracelet","Moonglow HQ","","","70.00000"
"Celestial Clay Terra Luna Bracelet","New Zealand","","","4.00000"
"Celestial Clay Terra Luna Bracelet","Queen Vic","","","21.00000"
"Celestial Clay Terra Luna Bracelet","Travel","","","28.00000"
"Celestial Moonrise Earrings","Coolum","","","-1.00000"
"Celestial Moonrise Earrings","Eumundi","","","-2.00000"
"Celestial Moonrise Earrings","Fremantle","","","-2.00000"
"Celestial Moonrise Earrings","Moonglow HQ","","","8.00000"
"Celestial Moonrise Earrings","New Zealand","","","-3.00000"
"Celestial Moonrise Earrings","Travel","","","-1.00000"
"Celestial Moonrise Earrings in Gold","Moonglow HQ","","","7.00000"
"Celestial Moonrise Earrings in Rose Gold","Moonglow HQ","","","29.00000"
"Celestial Moonrise Earrings in Rose Gold","Travel","","","-3.00000"
"Ceramic moon phase ring dish","Moonglow HQ","","","19.00000"
"Charm Engraving","Queen Vic","","","-1.00000"
"Charm Engraving","Travel","","","-12.00000"
"Charmed Simplicity Forever Connected Bundle","Moonglow HQ","","","-1.00000"
"Charmed Simplicity Forever Connected Bundle","New Zealand","","","-2.00000"
"Charmed Simplicity Necklace - 16-20” Stainless","New Zealand","","","-1.00000"
"Cherished Moons Pendant in Silver - Slip knot cord 1mm","Travel","","","1.00000"
"Classic","Travel","","","-1.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / April- Diamond","Moonglow HQ","","","-4.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / August- Peridot","Moonglow HQ","","","-7.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / December- Blue Zircon","Moonglow HQ","","","-1.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / January- Garnet","Moonglow HQ","","","-2.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / July- Ruby","Moonglow HQ","","","-8.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / June-LightAmethyst","Moonglow HQ","","","-5.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / March- Aqua Marine","Moonglow HQ","","","-1.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / May- Emerald","Moonglow HQ","","","-6.00000"
"Classic Birthstone Necklace - 18"" Pewter Chain / September- Sapphire","Moonglow HQ","","","-5.00000"
"Classic Birthstone Pendant - Pendant Only / August - Peridot","Moonglow HQ","","","-1.00000"
"Classic Birthstone Pendant - Pendant Only / December - Blue Zircon","Moonglow HQ","","","-2.00000"
"Classic Birthstone Pendant - Pendant Only / February - Amethyst","Moonglow HQ","","","-2.00000"
"Classic Birthstone Pendant - Pendant Only / January - Garnet","Moonglow HQ","","","-2.00000"
"Classic Birthstone Pendant - Pendant Only / July - Ruby","Moonglow HQ","","","-5.00000"
"Classic Birthstone Pendant - Pendant Only / June - Light Amethyst","Moonglow HQ","","","-4.00000"
"Classic Birthstone Pendant - Pendant Only / May - Emerald","Moonglow HQ","","","-1.00000"
"Classic Birthstone Pendant - Pendant Only / November - Topaz","Moonglow HQ","","","-1.00000"
"Classic Birthstone Pendant - Pendant Only / September - Sapphire","Moonglow HQ","","","-3.00000"
"Classic Bracelet","Moonglow HQ","","","-7.00000"
"Classic Choker Necklace","Moonglow HQ","","","-4.00000"
"Classic in pewter bracelet chain","Moonglow HQ","","","275.00000"
"Classic in pewter bracelet charm - 1D","Moonglow HQ","","","20.00000"
"Classic in pewter bracelet charm - 2A","Moonglow HQ","","","18.00000"
"Classic in pewter bracelet charm - 2D","Moonglow HQ","","","20.00000"
"Classic in pewter bracelet charm - 3A","Moonglow HQ","","","16.00000"
"Classic in pewter bracelet charm - 4D","Moonglow HQ","","","16.00000"
"Classic in pewter bracelet charm - 5D","Moonglow HQ","","","19.00000"
"Classic in pewter bracelet charm - CA","Moonglow HQ","","","16.00000"
